keys,comments,en,de,es,fr,id,it,ja,ko,pt-BR,pt-PT,uk,ru,th,tr,he,ar,vi,zh-Hans,zh-Hant
apple.login.signout,,Log out,,Cerrar sesión,Se déconnecter,,,,,Sair,Sair,Вийти,Выйти,,Çıkış Yap,יציאה,تسجيل الخروج,,,
att.request.cta,,"Ok, I understand",,"Bien, acepto","D'accord, je comprends",,,,,"Ok, eu entendo","Ok, eu entendo","Так, я розумію","Да, я понимаю",,"Tamam, anladım","בסדר, הבנתי",حسنًا، فهمت الأمر,,,
att.request.description.first,,For a better user experience,,,,,,,,,,,,,,,,,,
att.request.description.second,,For content that aligns with your interests,,,,,,,,,,,,,,,,,,
att.request.note,,You can always review your decision and make changes in settings at any time,,,,,,,,,,,,,,,,,,
att.request.title,,Enable tracking,,,,,,,,,,,,,,,,,,
check.internet.title,,"Please, check your internet connection and try again later",,Asegúrate de que el dispositivo tiene conexión,Veuillez vérifier votre connexion à Internet et réessayez,,,,,Verifique a sua ligação à Internet e tente novamente,Verifique a sua ligação à Internet e tente novamente,Перевірте з'єднання і спробуйте знову,Проверьте соединение и попробуйте снова,,Lütfen internet bağlantınızı kontrol edin ve tekrar deneyin,בדוק/י את החיבור לאינטרנט ונסה/י שוב מאוחר יותר,يرجى التحقق من اتصالك بالإنترنت والمحاولة مجددًا في وقت لاحق,,,
default_banner.title,,Premium\nNo ads & more features!,,Premium\n¡Sin publicidad y con más características!,Premium\nAucune publicité et davantage de fonctionnalités !,,,,,Premium\nSem anúncios e com mais funcionalidades!,Premium\nSem anúncios e com mais funcionalidades!,Преміум\nБільше функцій без реклами,Премиум\nБольше функций без рекламы,,Premium\nReklam yok ve başka özellikler!,פרימיום\nבלי פרסומות ועם תכונות נוספות!,حساب Premium\nمن دون إعلانات وبمزيد من الخاصيات!,,,
default_banner.upgrade.title,,UPGRADE,,COMPRAR,AMÉLIORER,,,,,ATUALIZAR,ATUALIZAR,КУПИТИ,КУПИТЬ,,YÜKSELT,שדרוג,الترقية,,,
general.button.back,,Back,,Atras,Retour,,,,,Recuar,Recuar,Назад,Назад,,Geri,הקודם,الرجوع,,,
general.button.close,,Close,,Cerrar,Fermer,,,,,Fechar,Fechar,Закрити,Закрыть,,Kapatmak,סגור,إغلاق,,,
general.button.done,,Done,,Hecho,Terminé,,,,,Feito,Feito,Готово,Готово,,Bitti,סיום,تم,,,
general.button.ok,,Ok,,Ok,D'accord,,,,,Ok,Ok,Ок,Ок,,Tamam,אישור,موافق,,,
general.button.retry,,Retry,,Otra vez,Réessayer,,,,,Repetir,Repetir,Ще раз,Ещё раз,,Tekrar dene,ניסיון נוסף,إعادة المحاولة,,,
no_internet.subtitle,,"No internet connection, try later",,No hay conexión a Internet. Inténtelo más tarde.,"Pas de connexion à Internet, réessayez plus tard",,,,,"Sem ligação à Internet, tente mais tarde","Sem ligação à Internet, tente mais tarde","З'єднання відсутне, спробуйте пізніше","Отсутствует соединение, попробуйте позже",,"İnternet bağlantısı yok, daha sonra deneyin","אין חיבור לאינטרנט, נסה/י מאוחר יותר",لا يوجد اتصال بالإنترنت. حاول في وقت لاحق,,,
no_internet.title,,Ooops,,Ooops,Oups,,,,,Ups,Ups,Упс,Упс,,Hay aksi,אופס,عذرًا,,,
no_mail_app.subtitle,,You don't have Mail app,,No tienes la aplicación Mail,Vous n'avez pas d'application de messagerie,,,,,Não tem aplicação de email,Não tem aplicação de email,У вас немає додатку Пошта,На устройстве нет приложения Почта,,Posta uygulamanız yok,אין לך אפליקציית דואר,ليس لديك تطبيق للبريد,,,
no_mail_app.title,,Ooops,,Ooops,Oups,,,,,Ups,Ups,Упс,Упс,,Hay aksi,אופס,عذرًا,,,
settings.contact_us.subtitle,,We would love to hear from you,,Enviar un comentario,Nous serions ravis d'avoir votre avis,,,,,Gostaríamos muito de saber a sua opinião,Gostaríamos muito de saber a sua opinião,Нам цікаво,Нам интересно,,Yorumlarınızı bekliyoruz,נשמח לשמוע מה דעתך,نود أن نسمع منك,,,
settings.contact_us.title,,Contact Us,,Contáctenos,Nous contacter,,,,,Contacte-nos,Contacte-nos,Напишіть нам,Напишите нам,,İletişim,יצירת קשר,تواصل معنا,,,
settings.help_support.section.title,,Help & Support,,Ayuda y soporte,Aide et assistance,,,,,Ajuda e Assistência,Ajuda e Assistência,Допомога і підтримка,Помощь и Поддержка,,Yardım ve Destek,עזרה ותמיכה,المساعدة والدعم,,,
settings.privacy.subtitle,,And other legal texts,,Y otros textos legales,Et autres mentions légales,,,,,E outros textos legais,E outros textos legais,I інші юридичні тексти,И другие юридические тексты,,Ve diğer yasal metinler,וטקסטים משפטיים אחרים,والنصوص القانونية الأخرى,,,
settings.privacy.title,,Privacy Policy,,Política de privacidad,Politique de confidentialité,,,,,Política de Privacidade,Política de Privacidade,Приватність,Приватность,,Gizlilik Politikası,מדיניות פרטיות,سياسة الخصوصية,,,
settings.rateapp.title,,Rate the App,,Puntuar app,Évaluer l'application,,,,,Avalie a aplicação,Avalie a aplicação,Оцініть додаток,Оцените приложение,,Uygulamayı değerlendirin,דרג/י את האפליקציה,تقييم التطبيق,,,
settings.restore_fail.subtitle,,"Sorry, it looks like you don't have any purchases ",,Parece que no tienes ninguna compra,"Désolé, il semble que vous n'ayez effectué aucun achat",,,,,"Desculpe, parece que você não tem nenhuma compra","Desculpe, parece que você não tem nenhuma compra","На жаль, схоже, у вас немає покупок","Извините, похоже, у вас нет покупок",,Maalesef satın alma işleminiz yok gibi görünüyor,"מצטערים, נראה שאין לך רכישות",عذرًا، يبدو أنك لم تجرِ أي عمليات شراء,,,
settings.restore.subtitle,,We’ll find stuff you have already bought,,Encontraremos todo lo que has comprado,Nous trouverons les articles que vous avez déjà achetés,,,,,Encontraremos coisas que já comprou,Encontraremos coisas que já comprou,"Знайдемо те, що ви вже купили",Найдём то что вы уже купили,,Daha önce satın aldığınız öğeleri bulacağız,נמצא דברים שכבר קנית,سنعثر على الأشياء التي اشتريتها بالفعل,,,
settings.restore.title,,Restore Purchases,,Recuperar las compras,Restaurer les achats,,,,,Restaurar compras,Restaurar compras,Відновити покупки,Восстановить покупки,,Satın Alınanları Geri Yükle,שחזור רכישות,استعادة المشتريات,,,
settings.share_app.title,,Share App,,Compartir app,Partager l'application,,,,,Partilhar a Aplicação,Partilhar a Aplicação,Поділитися,Поделиться,,Uygulamayı Paylaşın,שתף/י את האפליקציה,مشاركة التطبيق,,,
settings.share.subtitle,,Share via your favorite messenger,,Con ayuda de su mensajero favorito,Partagez via votre messagerie préférée,,,,,Partilhe através da sua aplicação de mensagens favorita,Partilhe através da sua aplicação de mensagens favorita,Вашим улюбленим способом,Вашим любимым способом ,,Favori mesajlaşma uygulamanız yoluyla paylaşın,שתף/י באפליקציית ההודעות האהובה עליך,المشاركة عبر تطبيق الرسائل المفضل لديك,,,
start.button.continue,,"Ok, I understand",,"Bien, acepto","D'accord, je comprends",,,,,"Ok, eu entendo","Ok, eu entendo","Так, я розумію","Да, я понимаю",,"Tamam, anladım","בסדר, הבנתי",حسنًا، فهمت الأمر,,,
