keys,comments,en,de,es,fr,id,it,ja,ko,pt-BR,pt-PT,uk,ru,th,tr,vi,zh-Hans,zh-Hant,he,ar
CFBundleDisplayName,,Apps&Subs,,Tiempo y Clima,Météo et Climat,,,,,Clima e Meteorologia,Clima e Meteorologia,Погода & Клімат,Погода & Климат,,Hava ve İklim,,,,מזג אוויר ואקלים,الطقس والمناخ
NFCReaderUsageDescription,not used,A message that tells the user why the app is requesting access to the device’s NFC hardware.,,,,,,,,,,,,,,,,,,
NSAppleMusicUsageDescription,not used,A message that tells the user why the app is requesting access to the user’s media library.,,,,,,,,,,,,,,,,,,
NSBluetoothAlwaysUsageDescription,not used,A message that tells the user why the app needs access to Bluetooth.,,,,,,,,,,,,,,,,,,
NSCalendarsUsageDescription,,Climate needs your calendar to provide personalised advertising experience tailored to you,,El Clima necesita su calendario para para proporcionarle una experiencia publicitaria personalizada,Climate a besoin de votre calendrier pour vous offrir une expérience publicitaire personnalisée,,,,,Climate precisa da sua agenda para fornecer uma experiência de publicidade personalizada às suas necessidades,Climate precisa da sua agenda para fornecer uma experiência de publicidade personalizada às suas necessidades,"Клімат потребує вашого календаря, щоб забезпечити персоналізовану рекламу, пристосовану до вас","Климату нужен ваш календарь, чтобы предоставить вам персонализированную рекламу",,Climate'ın size özel kişiselleştirilmiş reklam deneyimi sağlamak için takviminize ihtiyacı var,,,,האפליקציה זקוקה לגישה אל לוח השנה שלך כדי לספק לך פרסומות בהתאמה אישית,يحتاج التطبيق إلى التقويم على جهازك لتوفير تجربة إعلانات شخصية ومخصصة لك
NSCameraUsageDescription,not used,A message that tells the user why the app is requesting access to the device’s camera.,,,,,,,,,,,,,,,,,,
NSContactsUsageDescription,not used,A message that tells the user why the app is requesting access to the user’s contacts.,,,,,,,,,,,,,,,,,,
NSFaceIDUsageDescription,not used,A message that tells the user why the app is requesting the ability to authenticate with Face ID.,,,,,,,,,,,,,,,,,,
NSGKFriendListUsageDescription,not used,A message that tells the user why the app needs access to their Game Center friends list.,,,,,,,,,,,,,,,,,,
NSHealthClinicalHealthRecordsShareUsageDescription,not used,A message to the user that explains why the app requested permission to read clinical records.,,,,,,,,,,,,,,,,,,
NSHealthShareUsageDescription,not used,A message to the user that explains why the app requested permission to read samples from the HealthKit store.,,,,,,,,,,,,,,,,,,
NSHealthUpdateUsageDescription,not used,A message to the user that explains why the app requested permission to save samples to the HealthKit store.,,,,,,,,,,,,,,,,,,
NSHomeKitUsageDescription,not used,A message that tells the user why the app is requesting access to the user’s HomeKit configuration data.,,,,,,,,,,,,,,,,,,
NSIdentityUsageDescription,not used,A message that tells the user why the app is requesting identity information.,,,,,,,,,,,,,,,,,,
NSLocalNetworkUsageDescription,not used,A message that tells the user why the app is requesting access to the local network.,,,,,,,,,,,,,,,,,,
